price,area,bedrooms,bathrooms,parking,mainroad,guestroom,basement,centralheating,airconditioning,prefarea,furnishingstatus
47376,6060,3,1,0,yes,yes,yes,no,no,no,furnished
47376,3480,4,1,1,no,no,no,no,no,no,semi-furnished
47376,3792,4,1,0,yes,no,no,no,no,no,semi-furnished
47376,4040,2,1,0,yes,no,no,no,no,no,unfurnished
47376,2145,3,1,0,yes,no,yes,no,no,yes,furnished
47376,5880,3,1,1,yes,no,no,no,no,no,unfurnished
46872,4500,2,1,0,no,no,no,no,no,no,semi-furnished
NA,3930,2,1,0,no,no,no,no,no,no,unfurnished
46569,3640,4,1,0,yes,no,yes,no,no,no,unfurnished
46368,4370,3,1,0,yes,no,no,no,no,no,unfurnished
46368,2684,2,1,1,yes,no,no,no,yes,no,unfurnished
46368,4320,3,1,1,no,no,no,no,no,no,unfurnished
46368,3120,3,1,0,no,no,no,no,no,no,furnished
45360,3450,1,1,0,yes,no,no,no,no,no,furnished
45360,3986,2,2,1,no,yes,yes,no,no,no,unfurnished
45360,3500,2,1,0,no,no,yes,no,no,no,semi-furnished
45360,4095,2,1,2,yes,no,no,no,no,no,semi-furnished
45360,1650,3,1,0,no,no,yes,no,no,no,unfurnished
45360,3450,3,1,0,yes,no,yes,no,no,no,semi-furnished
45360,6750,2,1,0,yes,no,no,no,no,no,semi-furnished
45360,9000,3,1,2,yes,no,no,no,no,no,semi-furnished
45360,3069,2,1,1,yes,no,no,no,no,no,unfurnished
45259,4500,3,1,0,yes,no,no,no,yes,no,unfurnished
45057,5495,3,1,0,yes,no,yes,no,no,no,unfurnished
44911,2398,3,1,0,yes,no,no,no,no,yes,semi-furnished
44856,3000,3,1,0,no,no,no,no,yes,no,unfurnished
44856,3850,3,1,0,yes,no,no,no,no,no,unfurnished
44856,3500,2,1,0,yes,no,no,no,no,no,unfurnished
44452,8100,2,1,1,yes,no,no,no,no,no,unfurnished
44352,4960,2,1,0,yes,no,yes,no,yes,no,unfurnished
44352,2160,3,1,0,no,no,yes,no,no,no,semi-furnished
44352,3090,2,1,0,yes,yes,yes,no,no,no,unfurnished
44352,4500,2,1,1,yes,no,no,yes,no,no,semi-furnished
NA,3800,2,1,0,yes,no,no,no,no,no,unfurnished
43344,3090,3,1,0,no,no,no,no,no,no,semi-furnished
43344,3240,3,1,2,yes,no,no,no,no,no,semi-furnished
43344,2835,2,1,0,yes,no,no,no,no,no,semi-furnished
43344,4600,2,1,0,yes,no,no,no,no,no,furnished
43344,5076,3,1,0,no,no,no,no,no,no,unfurnished
43344,3750,3,1,0,yes,no,no,no,no,no,unfurnished
43344,3630,4,1,3,yes,no,no,no,no,no,semi-furnished
43243,8050,2,1,0,yes,no,no,no,no,no,unfurnished
42840,4352,4,1,1,no,no,no,no,no,no,unfurnished
42638,3000,2,1,0,yes,no,no,no,no,no,semi-furnished
42336,5850,3,1,1,yes,no,yes,no,no,no,unfurnished
42336,4960,2,1,0,yes,no,no,no,no,no,unfurnished
42336,3600,3,1,1,no,no,no,no,no,no,unfurnished
42336,3660,4,1,0,no,no,no,no,no,no,unfurnished
42336,3480,3,1,1,no,no,no,no,no,no,semi-furnished
42336,2700,2,1,0,no,no,no,no,no,no,furnished
42336,3150,3,1,0,no,no,no,no,no,no,unfurnished
42336,6615,3,1,0,yes,no,no,no,no,no,semi-furnished
41328,3040,2,1,0,no,no,no,no,no,no,unfurnished
41328,3630,2,1,0,yes,no,no,no,no,no,unfurnished
NA,6000,2,1,0,yes,no,no,no,no,no,semi-furnished
41328,5400,4,1,0,yes,no,no,no,no,no,unfurnished
41076,5200,4,1,0,yes,no,no,no,no,no,unfurnished
40824,3300,3,1,1,no,no,no,no,no,no,semi-furnished
40824,4350,3,1,1,no,no,no,yes,no,no,unfurnished
40824,2640,2,1,1,no,no,no,no,no,no,furnished
40320,2650,3,1,1,yes,no,yes,no,no,no,unfurnished
40320,3960,3,1,0,yes,no,no,no,no,no,furnished
39312,6800,2,1,0,yes,no,no,no,no,no,unfurnished
39312,4000,3,1,1,yes,no,no,no,no,no,unfurnished
38808,4000,2,1,0,yes,no,no,no,no,no,unfurnished
38304,3934,2,1,0,yes,no,no,no,no,no,unfurnished
38304,2000,2,1,0,yes,no,no,no,no,no,semi-furnished
38304,3630,3,3,0,no,yes,no,no,no,no,unfurnished
38304,2800,3,1,0,yes,no,no,no,no,no,unfurnished
38304,2430,3,1,0,no,no,no,no,no,no,unfurnished
38304,3480,2,1,1,yes,no,no,no,no,no,semi-furnished
38304,4000,3,1,0,yes,no,no,no,no,no,semi-furnished
38203,3185,2,1,0,yes,no,no,no,yes,no,unfurnished
NA,4000,3,1,0,yes,no,no,no,yes,no,unfurnished
37497,2910,2,1,0,no,no,no,no,no,no,unfurnished
37296,3600,2,1,0,yes,no,no,no,no,no,unfurnished
37296,4400,2,1,0,yes,no,no,no,no,no,unfurnished
37296,3600,2,2,1,yes,no,yes,no,no,no,furnished
36288,2880,3,1,0,no,no,no,no,no,no,unfurnished
36288,3180,3,1,0,no,no,no,no,no,no,unfurnished
36288,3000,2,1,0,yes,no,no,no,no,no,furnished
35784,4400,3,1,0,yes,no,no,no,no,no,unfurnished
35784,3000,3,1,0,no,no,no,no,no,no,semi-furnished
35280,3210,3,1,0,yes,no,yes,no,no,no,unfurnished
35280,3240,2,1,1,no,yes,no,no,no,no,unfurnished
35280,3000,2,1,1,yes,no,no,no,no,no,unfurnished
35280,3500,2,1,0,yes,yes,no,no,no,no,unfurnished
35280,4840,2,1,0,yes,no,no,no,no,no,unfurnished
35280,7700,2,1,0,yes,no,no,no,no,no,unfurnished
34675,3635,2,1,0,no,no,no,no,no,no,unfurnished
34272,2475,3,1,0,yes,no,no,no,no,no,furnished
34272,2787,4,2,0,yes,no,no,no,no,no,furnished
34272,3264,2,1,0,yes,no,no,no,no,no,unfurnished
33768,3640,2,1,0,yes,no,no,no,no,no,unfurnished
33264,3180,2,1,0,yes,no,no,no,no,no,unfurnished
32760,1836,2,1,0,no,no,yes,no,no,no,semi-furnished
32760,3970,1,1,0,no,no,no,no,no,no,unfurnished
32760,3970,3,1,0,yes,no,yes,no,no,no,unfurnished
32256,1950,3,1,0,no,no,no,yes,no,no,unfurnished
NA,5300,3,1,0,no,no,no,no,yes,yes,unfurnished
30744,3000,2,1,0,no,no,no,no,no,no,unfurnished
30240,2400,3,1,0,yes,no,no,no,no,no,unfurnished
30240,3000,4,1,0,yes,no,no,no,no,no,unfurnished
30240,3360,2,1,1,yes,no,no,no,no,no,unfurnished
28224,3420,5,1,0,no,no,no,no,no,no,unfurnished
27216,1700,3,1,0,yes,no,no,no,no,no,unfurnished
27216,3649,2,1,0,yes,no,no,no,no,no,unfurnished
26712,2990,2,1,1,no,no,no,no,no,no,unfurnished
26208,3000,2,1,2,yes,no,yes,no,no,no,unfurnished
25446,2400,3,1,0,no,no,no,no,no,no,semi-furnished
NA,3620,2,1,0,yes,no,no,no,no,no,unfurnished
25200,2910,3,1,0,no,no,no,no,no,no,furnished
25200,3850,3,1,0,yes,no,no,no,no,no,unfurnished
